1483,הפניקס השתלמות -שיטת הפניקס
1484,"הראל גמל מסלול אג""ח קונצרני"
1485,"הראל השתלמות אג""ח ללא מניות"
1486,מיטב גמל בניהול אישי
1487,מיטב השתלמות בניהול אישי
1488,הלמן-אלדובי תגמולים בניהול אישי
1489,הלמן-אלדובי השתלמות בניהול אישי
1490,"אינפיניטי גמל  אג""ח קונצרני"
1491,"אינפיניטי השתלמות  אג""ח קונצרני"
1514,פסגות גמל בניהול אישי
1515,פסגות השתלמות בניהול אישי
1522,מחר גמל מניות
1523,הראל השתלמות מסלול כהלכה
1524,הראל גמל מסלול כהלכה
1526,אל על - מניות
1528,מיטב דש פיצויים שקלי
1533,כלל תמר מסלול הלכתי (הוד)
1534,כלל השתלמות הלכה
1535,אנליסט השתלמות שקלי טווח קצר
1536,"אינפיניטי גמל  מניות בחו""ל"
1537,"אינפיניטי השתלמות מניות בחו""ל"
1538,איילון השתלמות כהלכה
1539,אינפיניטי פיצויים רבת מסלולים
1541,אקסלנס תגמולים בניהול אישי
1542,אקסלנס השתלמות בניהול אישי
1543,"אי.בי.אי תגמולים ופיצויים פאסיבי - מדדי מניות חו""ל"
1544,"אי.בי.אי השתלמות פאסיבי - מדדי מניות חו""ל"
1689,מיטב דש גמל פאסיבי מדדי מניות
1692,"מיטב דש גמל פאסיבי מדדי אג""ח עד 25% במדדי מניות"
1820,"ק.ס.מ אג""ח"
1821,ק.ס.מ מניות
1861,מנורה מבטחים השתלמות טווח ארוך
1912,פסגות עתיד גמל מרכזית כללי
2008,אלטשולר שחם פיצויים כספית
2017,פסגות גדיש הלכה
2018,פסגות שיא השתלמות  הלכה
2023,הפניקס גמל בניהול אישי
2024,הפניקס השתלמות בניהול אישי
2035,מורים וגננות - מסלול הלכה
2036,"מורים וגננות - מסלול אג""ח"
2037,מורים תיכוניים - מסלול הלכה
2038,"מורים תיכוניים - מסלול אג""ח"
2039,מורים וגננות - מסלול הלכה
2040,"מורים וגננות - מסלול אג""ח"
2041,מורים תיכוניים - מסלול הלכה
2042,"מורים תיכוניים - מסלול אג""ח"
2048,מגדל השתלמות  הלכה
2049,הלמן-אלדובי בר-יציב שריעה
2051,"מיטב דש גמל חו""ל"
2055,"מיטב דש השתלמות חו""ל"
2058,הלמן-אלדובי השתלמות שריעה
2080,"אוניברסיטת ת""א - מסלול שקלי"
2084,מנורה מבטחים השתלמות בניהול אישי
2086,אנליסט קופה מרכזית לפיצויים מסלול עד 10% במניות
2089,"אקסלנס גמל אג""ח עד 20% מניות"
2091,"אקסלנס השתלמות אג""ח עד 20% מניות"
2098,אי.בי.אי גמל בניהול אישי
2100,אי.בי.אי השתלמות בניהול אישי
2113,אינפיניטי גמל IRA בניהול אישי
2114,אינפיניטי השתלמות IRA בניהול אישי
2115,"כלל השתלמות אג""ח"
2234,"גמל דיסקונט אג""ח ממשלת ישראל"
2235,איי.אר.איי ישראל גמל בניהול אישי
2236,איי.אר.איי ישראל השתלמות בניהול אישי
2238,איילון תגמולים ואישית לפיצויים כהלכה
2244,"פסגות שיא השתלמות חו""ל"
2252,"אינפיניטי השתלמות אג""ח עד 15% מניות"
2254,אינפיניטי השתלמות לחוסכים מוטי סיכון
2255,"אי.בי.אי קופה לתגמולים ופיצויים מחקה מדד ת""א 25"
